OTU ID,Control-0-1,Control-0-2,Control-0-3,Control-3-1,Control-3-2,Control-3-3,Control-7-1,Control-7-2,Control-7-3,Control-15-1,Control-15-2,Control-15-3,Control-21-1,Control-21-2,Control-21-3,Control-30-1,Control-30-2,Control-30-3,PGP41-0-1,PGP41-0-2,PGP41-0-3,PGP41-3-1,PGP41-3-2,PGP41-3-3,PGP41-7-1,PGP41-7-2,PGP41-7-3,PGP41-15-1,PGP41-15-2,PGP41-15-3,PGP41-21-1,PGP41-21-2,PGP41-21-3,PGP41-30-1,PGP41-30-2,PGP41-30-3,PGP5-0-1,PGP5-0-2,PGP5-0-3,PGP5-3-1,PGP5-3-2,PGP5-3-3,PGP5-7-1,PGP5-7-2,PGP5-7-3,PGP5-15-1,PGP5-15-2,PGP5-15-3,PGP5-21-1,PGP5-21-2,PGP5-21-3,PGP5-30-1,PGP5-30-2,PGP5-30-3,taxonomy
OTU11,2,2,2,17,40,17,21,19,26,17,12,15,33,39,35,20,18,35,4,2,1,10,15,15,12,22,16,31,26,36,20,21,26,15,31,40,829,1023,635,547,87,72,34,29,33,96,15,18,19,23,25,8,16,25,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
OTU12,167,109,160,43,7,47,71,81,13,51,83,76,62,17,69,141,191,79,58,332,234,36,35,130,72,76,63,83,91,104,55,65,32,142,82,45,80,116,98,2,16,40,49,41,27,89,89,81,67,67,73,211,114,116,d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU13,59,45,50,106,30,69,130,116,26,68,149,129,104,46,110,214,155,116,27,108,68,88,76,170,105,114,83,73,150,141,78,76,49,106,76,27,34,73,56,15,44,87,103,78,27,84,141,115,80,101,48,156,113,86,d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured bacterium
OTU14,101,67,98,112,245,96,128,76,81,28,59,89,89,157,51,94,53,91,69,75,95,111,46,44,55,71,87,48,69,60,89,57,230,88,95,172,50,54,67,87,28,83,78,76,150,49,67,92,98,107,96,25,77,118,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__uncultured bacterium
OTU15,202,245,165,67,151,102,67,55,142,106,67,113,130,147,134,97,34,85,86,63,76,54,42,69,75,42,47,83,65,142,78,69,119,42,56,68,108,129,103,224,49,47,20,22,33,49,12,26,49,73,44,28,30,50,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
OTU16,5,4,4,123,148,105,113,72,92,74,94,56,55,66,50,65,39,38,1,2,2,115,96,98,139,86,138,41,31,45,60,79,129,78,66,86,9,11,7,195,201,277,75,86,114,49,89,41,59,59,57,70,72,69,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter; s__uncultured bacterium
OTU17,51,68,54,64,82,67,60,53,89,84,67,63,84,110,87,80,60,73,82,52,59,54,48,48,58,68,48,68,54,64,68,74,78,80,82,125,57,63,92,71,83,47,62,55,95,82,62,64,78,67,74,63,54,79,d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter; s__uncultured bacterium
OTU18,56,58,51,99,95,74,89,79,93,65,38,52,64,77,81,44,35,47,75,48,45,74,84,81,71,107,101,51,66,48,54,65,77,47,59,65,35,17,30,126,137,70,56,52,81,67,41,50,54,66,62,62,64,67,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__uncultured bacterium
OTU19,24,10,10,71,39,184,80,77,34,46,53,79,81,46,86,64,61,85,9,16,6,76,135,50,69,69,68,62,56,65,76,108,58,50,81,32,71,32,30,41,58,73,77,86,39,103,67,68,77,83,245,37,41,62,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Phycicoccus
OTU20,68,36,80,44,23,53,47,57,14,36,66,90,42,17,67,97,129,56,10,92,88,50,38,139,70,63,69,66,81,106,74,64,39,100,60,32,35,44,56,3,20,70,73,58,17,59,107,113,55,76,52,124,60,72,d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__norank; f__norank; g__norank
OTU21,4,2,3,67,103,59,77,82,142,83,46,66,79,102,73,66,68,64,1,7,1,68,59,61,101,119,107,104,85,65,71,110,87,67,94,116,25,23,31,67,62,48,64,80,86,60,81,50,60,71,68,42,51,46,d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3); g__Bryobacter; s__uncultured bacterium
OTU22,21,17,25,57,39,49,51,51,38,44,68,84,49,40,51,74,61,100,18,13,21,42,47,50,41,52,79,62,67,53,57,56,49,85,81,97,71,70,65,46,61,67,63,55,64,75,62,63,100,106,93,68,85,85,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured bacterium
OTU23,64,52,49,41,63,48,55,34,53,70,43,50,53,73,66,61,47,73,68,41,67,38,41,49,33,56,49,57,45,57,56,48,62,70,85,117,48,59,46,64,48,29,57,35,61,50,45,50,43,49,76,77,62,87,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__uncultured bacterium
OTU24,1,2,1,243,188,258,83,100,123,57,20,33,55,39,35,8,17,12,0,0,1,177,118,168,116,56,73,33,27,51,35,46,53,12,18,34,0,1,2,247,255,156,36,31,45,34,34,14,26,15,28,13,18,31,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia; s__uncultured bacterium
OTU25,2,2,3,130,109,109,140,195,135,63,24,59,79,89,59,26,15,29,2,0,3,100,60,90,96,91,108,32,28,62,47,91,64,34,37,29,2,1,0,196,137,103,79,69,104,62,63,32,40,40,26,12,25,34,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
OTU26,67,74,45,36,78,51,46,36,85,54,45,70,65,95,87,49,19,49,31,19,13,54,29,71,31,28,24,46,40,75,39,45,69,35,33,24,85,83,67,248,54,50,15,25,16,62,11,21,64,40,60,16,16,18,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
OTU27,33,35,18,64,60,75,61,47,71,63,53,64,54,70,56,37,32,45,25,15,22,36,39,47,74,56,60,60,43,69,65,87,89,69,78,102,26,31,43,44,57,41,40,34,69,35,32,38,56,44,50,43,73,60,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured
OTU28,27,22,24,49,27,43,38,49,37,43,43,57,43,53,52,75,68,91,14,18,19,42,38,27,27,45,52,52,64,26,58,55,43,65,54,80,41,32,45,38,67,44,55,53,47,62,61,70,53,91,67,51,79,59,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured bacterium
OTU29,42,29,20,45,74,52,46,45,63,70,45,44,55,56,64,55,34,54,43,23,27,31,49,48,40,46,57,62,49,62,53,49,57,53,62,87,43,26,43,48,54,29,29,37,57,72,37,49,56,62,45,58,58,67,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella
OTU30,7,6,2,155,123,116,52,59,129,54,20,50,35,60,70,11,10,16,2,1,2,153,118,136,84,81,66,41,32,23,35,49,50,5,14,17,4,0,3,153,153,93,73,72,80,107,59,28,33,38,59,4,6,10,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Pontibacter; s__uncultured bacterium
OTU31,85,100,92,33,33,40,33,19,49,62,21,37,31,46,48,37,33,39,105,77,72,39,41,25,16,27,41,42,36,38,28,40,37,40,41,51,57,49,41,52,49,23,48,41,49,41,37,29,41,50,34,45,44,58,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia; s__uncultured Rhodospirillaceae bacterium
OTU32,51,34,38,27,48,40,32,28,45,74,31,52,43,59,77,54,58,43,53,28,39,27,28,37,24,35,24,49,40,54,41,38,75,66,72,72,30,21,41,37,36,27,46,40,54,59,46,39,66,76,54,76,71,87,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured bacterium
OTU33,70,97,81,31,56,36,32,21,37,44,30,32,32,50,46,43,35,43,90,69,49,22,26,23,34,37,29,39,47,50,32,25,46,43,70,60,63,78,76,40,28,25,26,19,37,39,25,29,47,42,27,30,34,60,d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured bacterium
OTU34,3,5,3,49,59,65,117,154,65,69,22,40,54,60,79,35,29,25,2,1,5,66,59,47,127,107,130,49,69,72,101,101,113,25,35,33,4,1,3,80,83,64,22,29,50,43,47,27,32,43,33,19,22,44,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter
OTU35,2,1,1,72,37,113,65,64,28,16,33,55,68,25,66,55,47,51,2,1,3,67,94,38,55,44,53,60,48,41,62,92,42,40,36,22,30,16,16,23,37,48,52,59,22,89,50,49,69,72,234,16,25,49,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Phycicoccus
OTU36,45,47,54,37,54,41,38,38,33,54,33,44,48,62,75,52,41,59,57,27,37,26,29,43,33,61,30,34,38,38,35,31,47,53,49,82,46,32,30,39,44,27,35,33,39,52,32,32,52,61,42,46,42,62,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__norank
OTU37,48,69,60,8,12,16,29,27,30,39,30,43,37,52,36,39,47,58,66,46,58,15,17,11,25,13,50,62,62,50,28,39,38,46,52,48,25,42,25,22,15,11,60,57,76,46,76,45,58,54,62,44,43,67,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae; g__Ellin6067; s__uncultured bacterium
OTU38,43,57,41,57,53,38,42,44,74,49,24,28,53,51,54,40,24,50,66,37,42,46,65,50,39,52,52,31,49,35,31,52,39,31,29,51,23,27,25,62,71,47,26,35,45,43,33,21,32,28,29,50,36,54,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__uncultured Sphingomonas sp.
OTU39,47,44,59,32,12,27,59,45,4,29,72,43,38,13,44,73,93,43,18,96,85,41,21,112,53,42,45,46,60,68,27,32,21,78,26,17,22,23,43,6,18,37,18,18,7,51,35,54,28,41,26,97,41,43,d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU40,23,10,14,34,14,27,56,47,7,42,47,41,49,21,68,71,110,44,8,35,29,25,20,98,32,55,46,27,55,82,43,31,34,69,76,27,28,47,47,5,16,34,31,45,21,35,46,58,40,37,32,172,72,74,d__Bacteria; p__Actinobacteria; c__MB-A2-108; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU41,0,3,2,10,20,6,10,5,10,10,7,8,8,11,8,7,9,12,3,0,0,8,11,6,9,4,4,7,19,8,9,7,9,8,12,16,427,463,280,247,43,14,10,20,14,29,7,6,7,6,15,7,13,7,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
OTU42,10,11,13,60,73,51,43,61,74,51,35,39,35,47,44,43,41,53,10,1,4,59,40,54,47,44,33,58,38,43,47,45,65,30,38,58,18,21,24,59,97,54,49,47,74,67,72,51,49,66,53,35,35,44,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Frankiales; f__Geodermatophilaceae; g__Blastococcus; s__uncultured bacterium
OTU43,0,1,1,11,66,13,24,216,63,3,0,5,12,24,23,0,0,0,0,0,0,1,10,3,21,2,23,2,1,1,4,199,5,0,0,0,0,0,0,7,5,6,544,236,660,82,59,51,9,8,0,0,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas stutzeri
OTU44,34,46,34,37,48,35,44,35,28,41,33,38,23,54,19,32,35,44,57,34,50,25,26,17,27,34,36,72,30,34,120,37,45,40,51,55,43,40,45,45,44,37,32,28,48,18,37,37,41,44,39,23,49,33,d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__norank; s__uncultured bacterium
OTU45,39,25,37,38,45,46,48,38,58,67,37,49,56,66,76,44,43,37,33,33,29,32,26,35,39,43,50,55,45,52,38,42,50,35,41,41,35,30,26,35,31,18,32,31,54,43,25,34,41,62,38,33,49,45,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__uncultured; s__metagenome
OTU46,11,4,7,51,80,44,42,44,95,51,21,36,54,72,44,45,22,31,5,2,1,82,83,68,60,49,67,53,37,41,53,58,61,36,46,50,22,12,24,93,98,44,31,39,37,65,22,23,19,54,44,22,26,22,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga
OTU47,7,12,9,122,143,92,44,98,151,57,23,35,81,95,22,27,17,20,11,8,8,55,30,55,42,18,22,22,18,16,26,54,36,22,18,17,12,15,20,88,69,64,63,82,88,92,41,53,36,32,41,16,13,19,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus; s__Rhodococcus aetherivorans
OTU48,109,88,99,27,40,17,23,35,48,37,25,36,51,50,33,38,16,30,62,26,43,30,33,35,97,101,106,72,111,73,35,79,45,22,39,30,12,10,16,14,15,12,21,21,20,38,34,16,18,26,21,9,12,14,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Archangium
OTU49,3,0,0,38,15,50,25,32,11,11,6,18,24,10,22,4,5,13,39,125,66,197,724,122,55,149,107,22,47,29,19,35,9,8,7,1,12,5,10,3,7,7,14,25,9,25,12,9,22,21,52,5,11,12,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter
OTU50,23,13,12,32,10,74,51,41,9,32,130,58,44,18,37,62,90,83,3,17,28,20,20,36,47,39,20,27,57,62,43,18,25,63,59,8,31,25,26,5,20,55,32,30,13,25,35,81,78,47,32,55,60,71,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured Acidobacteria bacterium
OTU51,69,122,86,35,61,26,15,21,45,76,37,34,54,92,34,43,20,45,61,31,28,41,18,37,19,31,17,63,74,91,28,85,54,18,37,20,4,2,2,60,37,37,15,20,24,29,31,20,32,29,23,15,27,16,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Tumebacillus; s__uncultured bacterium
OTU52,59,41,39,31,35,35,32,22,46,52,26,38,22,36,55,41,41,65,43,36,27,22,37,24,23,21,27,40,42,36,35,25,31,42,53,65,38,44,34,36,42,32,26,25,53,33,28,29,53,51,37,47,45,40,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured bacterium
OTU53,40,43,40,20,19,34,36,29,25,37,42,39,35,53,30,54,56,68,39,30,34,26,21,17,17,23,22,38,35,34,55,45,45,61,61,59,37,24,34,12,20,19,37,35,27,25,39,37,77,45,41,33,59,58,d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU54,35,33,39,42,60,35,51,41,60,47,49,59,59,69,86,40,22,47,37,28,18,27,25,35,49,51,39,36,35,36,63,72,75,38,59,57,7,8,12,36,26,15,19,32,29,40,19,31,31,38,31,17,34,41,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__uncultured; s__uncultured bacterium
OTU55,1,1,2,68,76,45,53,70,78,72,35,42,65,74,39,46,31,36,0,1,1,56,44,43,38,53,45,52,39,35,36,39,29,26,26,46,23,23,18,49,69,42,52,39,59,55,41,35,34,39,49,28,34,27,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Skermanella; s__uncultured bacterium
OTU56,1,0,1,47,35,48,64,57,63,35,33,31,46,48,47,12,31,14,2,0,0,47,24,54,275,36,55,49,20,59,46,93,78,40,49,63,0,0,1,54,57,43,35,33,49,40,40,20,19,26,22,35,63,84,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
OTU57,9,7,12,29,42,37,41,53,36,33,44,65,69,59,40,42,33,51,6,6,6,28,35,31,58,42,65,45,49,40,44,69,44,62,46,43,31,14,33,25,21,30,51,44,40,49,39,35,42,51,55,24,41,33,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Candidatus Chloroploca
OTU58,1,2,0,3,3,1,16,33,115,48,24,54,66,71,29,1,0,4,1,0,0,5,3,5,41,20,20,46,17,14,20,74,44,1,0,0,0,0,0,11,9,4,278,440,262,143,123,171,18,19,23,2,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Rhodocyclaceae; g__Methyloversatilis; s__uncultured bacterium
OTU59,25,10,12,47,97,40,47,49,35,18,29,27,47,54,15,40,32,52,13,15,15,45,36,20,26,50,43,26,36,36,35,40,122,38,36,63,23,20,18,53,19,31,32,36,61,16,27,43,38,42,38,21,30,55,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
OTU60,35,58,38,27,30,20,39,24,39,41,37,54,39,45,49,42,40,44,52,23,43,24,21,21,25,40,26,28,37,40,25,22,37,27,36,55,30,31,24,40,29,27,24,24,31,37,30,28,39,24,32,33,37,31,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__uncultured; g__norank; s__uncultured bacterium
OTU61,45,37,40,15,18,17,28,25,2,23,32,29,29,7,41,48,60,32,11,60,71,24,14,58,36,30,30,37,49,50,32,29,16,78,53,14,22,22,53,7,16,36,28,25,10,42,63,37,35,32,28,75,43,50,d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU62,11,13,10,32,29,28,38,47,58,32,18,23,40,33,39,21,21,22,17,7,12,39,27,27,45,33,37,53,32,36,58,54,38,49,67,61,15,14,13,37,51,41,70,28,67,36,26,36,43,38,37,26,19,32,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
OTU63,13,14,15,23,4,51,40,40,10,21,62,31,37,12,17,55,89,75,4,15,30,22,13,22,31,31,28,26,40,44,31,20,15,83,53,15,31,17,17,3,33,91,58,47,17,22,65,77,74,29,25,49,32,30,d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Blastocatellales; f__Blastocatellaceae; g__uncultured; s__uncultured Acidobacteria bacterium
OTU64,23,26,32,28,10,21,71,50,5,21,55,51,34,15,39,49,73,37,11,69,33,35,14,59,33,42,26,31,58,57,34,22,9,33,25,12,21,19,22,5,14,24,29,34,14,34,47,54,34,26,23,60,53,30,d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured bacterium
OTU65,21,30,23,42,40,32,33,32,51,51,15,29,31,57,46,22,17,17,29,12,15,30,33,35,42,27,38,55,28,48,46,38,44,24,27,43,27,31,12,46,49,29,35,45,53,46,41,32,33,35,30,33,35,16,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium elkanii
OTU66,30,32,31,27,50,36,38,27,34,47,26,34,39,45,51,34,27,39,41,19,25,21,25,20,26,38,35,26,31,35,39,32,43,22,36,43,11,18,19,24,31,15,26,23,31,48,32,20,29,36,32,28,25,37,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured bacterium
OTU67,16,17,14,49,53,29,47,37,57,34,17,42,36,45,47,13,8,22,21,11,10,55,57,45,39,56,47,36,38,29,30,32,37,25,23,26,17,17,11,71,65,30,30,27,35,51,33,29,30,30,33,25,27,37,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
OTU68,25,17,19,28,71,36,32,29,44,33,21,29,35,56,52,47,30,44,18,30,26,21,38,18,27,37,32,38,39,32,28,27,38,29,28,62,35,21,23,24,26,29,28,25,28,37,30,29,28,31,27,29,14,39,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__norank; s__uncultured bacterium
OTU69,3,3,10,31,14,1,29,35,67,37,24,53,57,73,33,12,5,9,9,3,3,26,8,34,127,52,47,66,26,58,74,96,100,6,13,10,0,0,2,14,23,13,63,68,84,68,93,57,32,26,47,3,7,6,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas
OTU70,37,40,41,33,56,41,34,21,51,36,26,35,32,35,58,29,20,40,62,44,30,32,26,24,19,28,28,37,28,32,23,33,27,24,26,24,45,28,58,35,15,10,18,11,14,16,15,14,20,24,20,12,14,22,d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira
OTU71,7,7,2,39,70,26,42,44,66,64,31,45,36,46,44,44,36,30,7,2,4,28,26,24,52,40,40,40,28,37,28,43,50,27,33,38,22,23,27,26,19,14,48,48,67,33,42,29,27,34,37,18,19,27,d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3); g__Bryobacter; s__uncultured bacterium
OTU72,18,10,20,19,10,18,39,39,5,14,38,41,26,6,33,27,48,20,7,20,15,14,19,50,54,34,26,17,61,43,20,37,25,43,29,12,16,11,34,3,22,53,44,55,17,45,50,85,39,36,35,82,65,56,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured Acidobacteria bacterium
